char,male,female
礌,3,0
圾,3,0
郕,3,0
縐,3,2
梣,3,4
嚦,3,2
慫,3,1
嘯,3,0
祓,3,0
蕂,3,0
韌,3,0
蕰,3,3
疌,3,2
蘚,3,2
覦,3,3
鉷,3,2
酲,3,0
鳳,3,2
錕,3,0
玴,3,1
,3,0
葰,3,0
濔,3,1
俋,3,2
紆,3,2
述,3,1
蕗,3,7
礎,3,1
羸,3,0
畬,3,1
鼙,3,0
凋,3,1
鯽,3,0
遑,3,1
褆,3,3
燹,3,3
邶,3,0
櫨,3,3
湋,3,0
膂,3,1
澠,3,0
奘,3,1
峼,3,1
鯧,3,0
爔,3,1
劌,3,1
霂,3,6
檯,3,0
蘊,3,7
垍,3,0
卦,3,1
奤,3,1
綠,3,1
鹵,3,0
袞,3,1
愜,3,7
說,3,2
渫,3,1
咒,3,0
楀,3,0
苳,3,3
樑,3,0
忮,3,1
碹,3,0
鯖,3,1
珄,3,1
並,3,0
椼,3,0
羼,3,1
鶻,3,0
鈃,3,0
糾,3,0
悒,3,0
檳,3,2
塵,3,1
偍,3,0
羽,3,2
唷,3,0
娩,3,49
領,3,0
澌,3,10
兟,3,1
咺,3,1
泣,3,4
伕,3,0
磉,3,0
銃,3,0
坵,3,0
蓀,3,0
垿,3,2
靄,3,3
映,3,5
撂,3,4
眭,3,0
珕,3,1
袑,3,0
慚,3,22
螢,3,0
悵,3,0
輇,3,1
燁,3,0
暲,3,0
查,3,2
秣,3,0
胰,3,4
牷,3,0
洨,3,4
幄,3,0
萑,3,0
畈,3,0
茚,3,0
蕨,3,0
茱,3,10
挎,3,2
栤,3,0
屁,3,1
馹,3,3
肓,3,1
秋,3,0
鐾,3,0
糙,3,3
倗,3,0
垳,3,1
贠,3,1
熹,3,1
泝,3,0
律,3,0
壘,3,2
橫,3,0
詫,3,1
捏,3,0
扥,3,0
怊,3,0
摑,3,0
巽,3,0
囟,3,0
嘀,3,1
酵,3,0
虻,3,0
步,3,0
簷,3,7
晏,3,3
癟,3,0
讋,3,0
卓,3,3
慆,3,0
蓊,3,4
瑝,3,3
欣,3,2
鋻,3,0
嗓,3,2
滿,3,1
逕,3,2
垃,3,3
跂,3,0
嘯,3,0
笱,3,0
聰,3,2
圓,3,4
孫,3,1
磁,3,1
蘊,3,11
規,3,0
,3,4
瞋,3,1
竻,3,0
鑒,3,0
漬,3,1
嵎,3,1
黑,3,1
傴,3,2
獷,3,0
楮,3,2
茯,3,3
囅,3,1
湮,3,4
酊,3,1
櫆,3,0
迠,3,0
碭,3,0
毀,3,0
默,3,1
迴,3,0
樸,3,1
邊,3,0
靈,3,0
鏞,3,0
搙,3,1
叻,3,4
錢,3,0
籣,3,8
罧,3,0
咦,3,3
蠑,3,0
黯,3,2
瑯,3,1
璔,3,0
緡,3,0
玒,3,2
巃,3,0
諹,3,1
鏜,3,0
犯,3,1
俾,3,0
茛,3,0
賡,3,0
翬,3,1
鶡,3,1
鐓,3,1
迴,3,0
氶,3,0
煨,3,1
腩,3,2
喣,3,0
療,3,0
瞑,3,1
冇,3,0
唄,3,6
寔,3,1
耋,3,0
噎,3,1
戾,3,1
銀,3,2
鍬,3,1
璟,3,2
犎,3,0
嗷,3,3
礙,3,0
姩,3,5
鰍,3,1
壯,3,1
偞,3,2
熨,3,1
舉,3,0
喦,3,1
鎧,3,1
屘,3,2
騉,3,0
礱,3,1
椂,3,2
蔭,3,0
坨,3,1
挖,3,2
朓,3,0
鑭,3,4
葉,3,0
眈,3,0
楊,3,0
鄣,3,0
篸,3,0
膀,3,2
眳,3,1
貶,3,1
捩,3,2
電,3,0
騅,3,1
珃,3,1
鈵,3,0
罘,3,1
潓,3,5
梫,3,0
帥,3,0
遏,3,3
筳,3,2
鋡,3,0
慬,3,2
渥,3,0
潁,3,1
倢,3,3
賦,3,0
竦,3,1
瑅,3,0
咭,3,4
變,3,1
窄,3,2
愾,3,1
飼,3,0
鈷,3,0
蜇,3,1
尡,3,1
娿,3,1
垌,3,1
謫,3,0
悅,3,4
篊,3,4
瑛,3,4
慌,3,6
猋,3,0
參,3,1
鏊,3,1
貽,3,1
苤,3,0
抷,3,0
欐,3,3
眶,3,1
彖,3,0
芑,3,3
鈱,3,2
龕,3,0
桪,3,0
梲,3,0
腓,3,0
水,3,2
籹,3,4
吮,3,0
觚,3,0
皦,3,0
僭,3,0
豚,3,2
禓,3,0
銨,3,0
罹,3,1
橋,3,1
閹,3,2
階,3,0
祾,3,7
鬲,3,2
枵,3,1
懵,3,0
歡,3,2
恮,3,0
鋙,3,0
綜,3,0
禰,3,0
苙,3,2
鈽,3,0
僬,3,0
婺,3,8
鸛,3,3
頫,3,0
湰,3,0
鍾,3,1
俠,3,7
乘,3,0
珌,3,0
翳,3,2
啖,3,0
將,3,0
邤,3,0
躦,3,0
椲,3,0
栐,3,1
地,3,2
虒,3,0
鈊,3,2
殃,3,3
咫,3,3
婋,3,2
賸,3,2
佔,3,1
烋,3,0
仿,3,3
焞,3,0
浵,3,0
喏,3,7
鏣,2,0
鹴,2,0
旒,2,1
鶲,2,1
滄,2,0
滽,2,0
霑,2,2
瓖,2,3
嬈,2,0
飆,2,0
璸,2,1
膜,2,5
肱,2,0
鲆,2,1
臞,2,0
雗,2,0
場,2,0
鷸,2,2
江,2,0
桴,2,0
薾,2,2
埁,2,0
琊,2,1
疤,2,0
眐,2,0
隹,2,3
爃,2,0
泉,2,2
訕,2,0
僑,2,1
紳,2,0
惠,2,0
骯,2,0
釭,2,0
瑺,2,1
櫱,2,0
廿,2,4
柎,2,0
剋,2,0
獻,2,0
妉,2,2
閖,2,0
乘,2,1
霨,2,1
窗,2,0
疵,2,1
赧,2,2
語,2,1
糍,2,0
擷,2,3
笵,2,0
婄,2,6
徠,2,0
豈,2,1
腴,2,2
耩,2,0
籛,2,1
黟,2,1
璪,2,2
宮,2,0
轱,2,0
褸,2,1
匯,2,0
茈,2,5
陘,2,0
猾,2,1
坩,2,0
蒞,2,1
穎,2,2
弳,2,0
垶,2,3
佇,2,0
溴,2,1
蒐,2,1
悖,2,0
砸,2,5
暢,2,5
橇,2,0
柩,2,0
崆,2,0
伓,2,0
玦,2,4
勗,2,0
櫞,2,6
燁,2,0
旮,2,0
畬,2,0
麟,2,0
蘞,2,3
岧,2,0
脘,2,3
閾,2,0
倨,2,0
皞,2,1
鯪,2,1
錒,2,6
輜,2,0
聯,2,0
騶,2,0
罍,2,0
垵,2,0
燎,2,0
幍,2,0
歅,2,0
滋,2,0
柳,2,2
籔,2,0
耷,2,0
鍔,2,0
總,2,1
驫,2,0
雫,2,0
圉,2,0
愨,2,1
樂,2,0
閽,2,1
餕,2,0
摳,2,0
,2,0
傖,2,0
機,2,0
碁,2,0
徜,2,0
甘,2,2
鯡,2,0
瀼,2,0
裱,2,0
鰩,2,0
榆,2,0
淨,2,2
泚,2,2
胭,2,25
詣,2,0
饜,2,3
嗍,2,0
咧,2,1
嗤,2,0
、,2,0
豇,2,1
顥,2,1
唅,2,6
慍,2,2
戉,2,2
勵,2,0
瑯,2,4
胚,2,2
鎬,2,0
媺,2,10
窪,2,0
柮,2,0
僎,2,2
嚓,2,1
緹,2,0
騹,2,3
腋,2,2
碖,2,0
叮,2,0
夑,2,0
咿,2,4
青,2,1
澦,2,0
彷,2,3
搠,2,1
踵,2,0
鏑,2,0
詇,2,0
潚,2,0
準,2,1
禜,2,0
鋌,2,0
洢,2,5
闔,2,0
奓,2,0
阭,2,1
圶,2,0
玷,2,1
鑒,2,0
閣,2,1
餡,2,3
銚,2,0
萘,2,1
粿,2,0
螯,2,1
瀹,2,1
俉,2,0
稶,2,0
裬,2,0
澩,2,0
擭,2,0
懺,2,0
晰,2,2
錇,2,2
楴,2,0
蓿,2,3
氍,2,1
曨,2,0
飆,2,0
蝏,2,0
髖,2,0
嬌,2,4
勸,2,0
夫,2,0
轆,2,0
墁,2,12
準,2,0
屜,2,0
醃,2,0
褚,2,1
鍵,2,0
韃,2,0
梨,2,0
嗩,2,1
刈,2,0
會,2,0
幵,2,0
殫,2,3
務,2,0
泩,2,0
炔,2,1
錝,2,0
駻,2,0
趵,2,0
廝,2,0
洣,2,1
咆,2,0
埌,2,1
餞,2,2
扮,2,8
奲,2,0
犛,2,0
虐,2,0
矼,2,0
繼,2,1
洇,2,1
傢,2,2
聹,2,1
藹,2,0
玔,2,1
煃,2,0
瀨,2,0
聒,2,0
粿,2,0
琖,2,0
珜,2,0
烚,2,1
醍,2,1
麇,2,0
璊,2,1
睎,2,5
翃,2,0
宛,2,0
塄,2,0
鎵,2,0
枮,2,0
穭,2,6
娍,2,0
諺,2,0
硯,2,2
俜,2,0
諨,2,0
埫,2,0
嘍,2,0
荍,2,4
峮,2,1
菎,2,1
姼,2,2
曾,2,0
埰,2,1
驚,2,0
芓,2,0
鍏,2,2
渼,2,8
黨,2,0
鷴,2,2
胄,2,1
歈,2,0
氿,2,0
盱,2,4
婼,2,14
狽,2,2
馳,2,0
焐,2,0
颼,2,0
趈,2,1
肫,2,0
瑑,2,0
藿,2,1
錿,2,0
鋶,2,1
栒,2,1
芏,2,5
玞,2,1
飣,2,0
蔣,2,0
葚,2,1
璩,2,0
禊,2,0
鈄,2,0
娖,2,3
坅,2,1
熉,2,0
怖,2,0
湣,2,0
齊,2,2
滐,2,2
綠,2,1
騵,2,0
釧,2,0
喈,2,1
鎤,2,0
曣,2,2
縕,2,1
撾,2,1
吋,2,1
銶,2,0
菑,2,0
狡,2,0
橐,2,1
刖,2,2
掐,2,7
跪,2,0
誾,2,0
觥,2,1
鸻,2,0
聶,2,0
魘,2,2
蓯,2,7
龘,2,1
禳,2,0
笑,2,2
沯,2,0
慾,2,5
溧,2,2
蝀,2,0
縞,2,0
粵,2,0
騑,2,2
儱,2,0
瓘,2,0
鬟,2,0
頊,2,0
詎,2,0
竷,2,0
萳,2,0
鋪,2,0
蕘,2,2
灃,2,0
耇,2,0
灄,2,0
蕣,2,0
狒,2,0
縷,2,9
憑,2,1
秏,2,1
岊,2,1
笒,2,0
揮,2,0
舒,2,3
陸,2,0
帑,2,0
砉,2,1
誹,2,2
厝,2,0
渢,2,0
讓,2,0
汆,2,1
檮,2,1
鏸,2,2
婻,2,13
烀,2,0
薿,2,4
馱,2,1
旂,2,1
煬,2,0
矻,2,0
撫,2,0
侜,2,0
嘴,2,1
緱,2,1
僾,2,2
鰻,2,15
癲,2,0
瑉,2,1
顱,2,0
奷,2,0
峳,2,2
鵓,2,0
槙,2,0
灡,2,0
酃,2,0
豹,2,0
汯,2,2
綝,2,0
蹨,2,0
喜,2,5
睍,2,1
鋂,2,1
腈,2,3
輊,2,0
芃,2,4
蕎,2,0
騆,2,0
婞,2,23
信,2,3
闥,2,0
寀,2,5
謖,2,0
齡,2,0
絟,2,0
橖,2,0
侻,2,0
孋,2,13
惻,2,0
樣,2,1
擐,2,0
罌,2,1
贑,2,0
銛,2,0
酎,2,0
嘒,2,2
恔,2,1
箤,2,2
鵔,2,0
騠,2,0
靉,2,0
太,2,0
熾,2,0
絪,2,0
郃,2,0
崮,2,0
嗒,2,1
榎,2,0
韺,2,1
奊,2,0
贏,2,1
鐗,2,0
垯,2,0
蒗,2,1
鐸,2,0
瘧,2,0
祧,2,0
磧,2,0
孧,2,0
賰,2,0
侀,2,0
惆,2,4
幪,2,1
犨,2,0
悢,2,0
箜,2,1
偽,2,1
薘,2,0
鋮,2,1
啃,2,0
銑,2,0
侃,2,0
賃,2,4
阫,2,0
輈,2,0
穩,2,0
崇,2,1
盿,2,0
悊,2,0
溏,2,1
幛,2,0
嶓,2,1
縒,2,1
壂,2,1
瀋,2,0
戛,2,0
擇,2,0
箎,2,0
熵,2,1
眴,2,0
惰,2,5
琀,2,5
赯,2,0
詞,2,0
拌,2,2
翅,2,0
斃,2,0
莰,2,2
搢,2,0
拈,2,1
茽,2,0
慊,2,3
飲,2,1
脩,2,1
葝,2,0
熙,2,1
砼,2,0
鍉,2,0
磌,2,0
曛,2,0
顓,2,0
郛,2,0
喉,2,2
悃,2,1
漷,2,0
訨,2,1
鱔,2,0
螞,2,0
棶,2,0
親,2,0
亍,2,1
裝,2,0
裼,2,1
羢,2,0
漍,2,0
藍,2,3
晨,2,0
柄,2,1
麋,2,1
碁,2,0
蔞,2,0
拰,2,0
梒,2,1
埩,2,1
恿,2,0
賅,2,0
腃,2,0
砅,2,0
氙,2,0
舖,2,0
癰,2,1
遛,2,0
黢,2,0
弜,2,0
蕡,2,0
絢,2,3
砫,2,0
搗,2,0
緒,2,0
鷹,2,1
誫,2,0
澦,2,0
疹,2,5
葙,2,1
潠,2,0
檽,2,0
繻,2,0
焄,2,1
碣,2,3
堞,2,2
壟,2,0
荺,2,4
閬,2,1
媗,2,3
塭,2,0
龠,2,0
枇,2,1
嶅,2,0
耇,2,0
坳,2,0
杅,2,1
徨,2,0
楻,2,0
呂,2,1
鎕,2,0
螣,2,0
忭,2,2
叵,2,0
學,2,0
琋,2,2
渨,2,0
并,2,0
諉,2,0
飲,2,0
誥,2,0
陷,2,1
碔,2,0
縹,2,0
嗖,2,0
鋗,2,0
螚,2,2
世,2,0
樁,2,0
囈,2,9
跺,2,1
猊,2,0
貝,2,1
縣,2,0
櫂,2,0
颹,2,1
陔,2,0
瘁,2,1
從,2,0
張,2,1
積,2,0
婠,2,6
蔃,2,0
遄,2,0
圴,2,0
林,2,2
紂,2,0
嵂,2,1
琩,2,0
綪,2,4
鋒,2,0
讙,2,1
德,2,0
鏦,2,0
旯,2,1
薜,2,1
脢,2,0
漕,2,0
嗅,2,2
氘,2,0
瑥,2,2
協,2,0
牖,2,0
涴,2,7
婛,2,3
習,2,2
抉,2,2
偆,2,1
璊,2,0
怑,2,1
爝,2,1
熒,2,4
苜,2,0
號,2,0
嬅,2,10
碖,2,0
傃,2,0
兌,2,0
愎,2,0
映,2,5
崠,2,0
稟,2,0
邊,2,1
走,2,0
鹋,2,1
碲,2,0
貤,2,1
奼,2,28
齋,2,0
眉,2,6
黻,2,0
願,2,0
髻,2,0
頵,2,0
峬,2,0
凳,2,0
瑂,2,2
氳,2,0
楱,2,0
錋,2,0
儗,2,2
屏,2,1
賂,2,1
嗦,2,0
吠,2,0
蹟,2,0
謹,2,0
恚,2,1
蜴,2,2
晃,2,0
闓,2,0
幗,2,1
曚,2,4
菽,2,0
涕,2,4
鈁,2,0
鐨,2,2
雰,2,5
蒝,2,2
玿,2,2
颮,2,2
兩,2,0
鹽,2,0
忐,2,0
紺,2,2
吟,2,0
搽,2,0
蔌,2,0
菬,2,0
訏,2,0
湧,2,0
通,2,0
玗,2,1
珦,2,2
恏,2,0
壺,2,2
敷,2,0
堹,2,0
耔,2,1
嬖,2,2
玸,2,0
卡,2,5
蓱,2,2
徯,2,0
磾,2,0
鬢,2,2
竻,2,0
踴,2,0
狙,2,0
揚,2,2
叱,2,0
嬪,2,2
枸,2,3
鵑,2,0
泅,2,6
衽,2,1
凘,2,1
焰,2,0
諴,2,0
愆,2,0
貪,2,0
帶,1,0
搵,1,2
汥,1,0
鱆,1,0
饒,1,1
姌,1,14
瑡,1,0
枆,1,0
珶,1,0
奾,1,0
醞,1,0
鈉,1,0
踽,1,0
軎,1,0
忉,1,0
鍀,1,0
佧,1,0
糴,1,2
檎,1,0
冰,1,1
嵊,1,0
證,1,0
訉,1,0
銠,1,0
闇,1,0
賯,1,0
羭,1,0
軼,1,3
彋,1,0
緰,1,0
梌,1,0
洖,1,0
琠,1,0
晑,1,0
鑈,1,0
偲,1,2
曄,1,0
檇,1,0
墱,1,0
帆,1,0
妠,1,3
岕,1,0
燄,1,0
鋿,1,0
姞,1,3
躪,1,0
淢,1,0
韗,1,0
綵,1,1
熯,1,0
吮,1,0
踣,1,0
筰,1,0
錂,1,2
昣,1,0
旽,1,0
鳙,1,0
瘍,1,0
鋙,1,0
茓,1,0
痰,1,2
惔,1,1
桫,1,0
拗,1,1
黥,1,0
漎,1,0
牒,1,1
鱺,1,0
趴,1,3
護,1,0
炻,1,2
譽,1,0
鞝,1,0
坰,1,0
煿,1,0
碂,1,0
埜,1,0
島,1,0
嫨,1,0
埮,1,1
訖,1,0
幹,1,1
莍,1,0
颻,1,2
哂,1,2
概,1,0
儢,1,0
質,1,0
曄,1,0
酰,1,1
莮,1,0
瀧,1,0
乤,1,0
紉,1,0
湓,1,0
巇,1,0
搵,1,1
稿,1,0
款,1,0
攄,1,0
場,1,0
嘲,1,0
爨,1,0
嵨,1,0
稅,1,0
唸,1,1
擢,1,0
鐈,1,0
釹,1,1
砝,1,0
釿,1,1
新,1,0
禘,1,0
杝,1,1
車,1,0
祲,1,0
問,1,0
撜,1,0
礓,1,1
帨,1,1
蹯,1,0
跬,1,0
呃,1,0
纆,1,0
郱,1,1
鈤,1,1
玂,1,0
秩,1,0
瞌,1,0
盤,1,1
緢,1,0
儃,1,0
犉,1,1
啟,1,0
橽,1,0
矓,1,0
嚘,1,0
梟,1,1
矍,1,0
靇,1,0
鷐,1,1
,1,0
補,1,1
畎,1,0
灴,1,0
袼,1,1
衏,1,0
,1,1
謺,1,0
逋,1,1
菫,1,3
鯎,1,0
錒,1,1
鱈,1,12
釔,1,1
敔,1,1
鏏,1,0
峬,1,0
響,1,0
麂,1,0
嘁,1,0
軸,1,0
麂,1,0
槁,1,0
幘,1,0
禔,1,0
詝,1,0
辭,1,0
蔍,1,0
謤,1,0
甾,1,1
嚥,1,0
袌,1,0
峑,1,0
真,1,0
恌,1,0
悗,1,0
尪,1,0
璺,1,0
瑣,1,0
坋,1,1
儺,1,0
耬,1,0
畛,1,1
嫍,1,0
梪,1,0
缽,1,0
漘,1,0
婗,1,3
藨,1,0
蓽,1,1
謾,1,8
橈,1,0
柙,1,0
縸,1,0
淛,1,0
旰,1,0
鉅,1,0
柊,1,0
吠,1,0
漛,1,0
轞,1,0
兕,1,0
秫,1,3
裀,1,1
貰,1,0
縉,1,0
睚,1,0
斫,1,0
鎂,1,2
睨,1,0
昤,1,5
懸,1,0
孴,1,0
鶠,1,0
剌,1,1
霤,1,0
謶,1,0
僩,1,0
盦,1,0
楉,1,1
遠,1,0
鐶,1,0
崿,1,0
妝,1,0
煜,1,0
鍪,1,0
魯,1,0
朣,1,1
蟯,1,0
斳,1,0
趫,1,1
偁,1,0
艎,1,0
線,1,0
粊,1,0
綾,1,1
葩,1,3
鏷,1,0
沖,1,0
夒,1,0
陲,1,0
爾,1,1
棛,1,0
髯,1,0
嬬,1,1
旄,1,1
斟,1,0
芻,1,1
攖,1,0
呱,1,2
笆,1,2
紃,1,0
璉,1,0
壛,1,0
屆,1,0
桌,1,0
噫,1,0
輿,1,0
漒,1,0
疃,1,1
掾,1,0
繯,1,2
駩,1,0
柇,1,0
罐,1,0
鱸,1,0
欏,1,0
會,1,0
徠,1,0
沇,1,0
鎾,1,0
卍,1,0
艅,1,0
憤,1,0
鎖,1,0
察,1,1
懮,1,0
箷,1,0
凩,1,0
桵,1,0
襚,1,0
嵾,1,0
袀,1,0
靾,1,0
黁,1,2
茙,1,0
棼,1,1
牁,1,0
跛,1,0
液,1,0
鍖,1,0
嗜,1,0
殄,1,0
瓀,1,3
垂,1,0
劍,1,1
箽,1,0
鋤,1,0
聞,1,0
劉,1,0
憡,1,0
庶,1,0
邙,1,0
彳,1,0
塏,1,0
槲,1,0
僪,1,1
幬,1,0
罣,1,0
艦,1,0
驦,1,0
貊,1,0
橸,1,0
秬,1,0
秈,1,0
駔,1,0
瘐,1,0
騎,1,0
珵,1,1
絖,1,0
髟,1,0
盈,1,1
珢,1,2
繩,1,0
,1,0
琙,1,0
嫆,1,4
嚶,1,2
髦,1,1
撟,1,0
斿,1,0
載,1,0
籤,1,0
忪,1,3
塯,1,0
夥,1,0
靨,1,10
鎮,1,0
艴,1,0
蝸,1,3
紗,1,0
涳,1,1
螞,1,0
檻,1,0
鱧,1,0
撳,1,0
樻,1,0
卒,1,0
汖,1,0
埒,1,1
滃,1,0
璫,1,0
飆,1,0
悱,1,0
釤,1,1
卬,1,2
駼,1,1
門,1,0
畾,1,0
黧,1,1
禡,1,0
槨,1,0
垓,1,0
旓,1,0
趺,1,0
賻,1,0
蜣,1,0
譯,1,0
鯤,1,1
揯,1,0
賤,1,0
仚,1,0
蹓,1,1
侇,1,0
欥,1,0
樗,1,0
灰,1,1
褾,1,0
鋉,1,0
稙,1,0
崷,1,0
漘,1,0
粧,1,25
埆,1,0
裸,1,0
勁,1,0
樉,1,0
慳,1,0
孱,1,1
荶,1,0
蒱,1,0
薳,1,0
剪,1,0
農,1,0
誗,1,0
多,1,0
譜,1,0
棖,1,0
歲,1,0
疊,1,0
袚,1,0
蠷,1,0
哲,1,0
營,1,0
鰡,1,0
姒,1,7
錼,1,2
拚,1,0
皋,1,0
橪,1,0
偵,1,0
謚,1,1
驄,1,0
鍰,1,3
堙,1,0
鑅,1,0
藞,1,0
塍,1,0
鮮,1,0
德,1,0
糅,1,0
筽,1,0
鏗,1,0
暆,1,0
動,1,0
苀,1,1
鴹,1,0
亃,1,0
萾,1,0
粲,1,0
砦,1,1
磣,1,0
跡,1,0
誩,1,1
繕,1,0
疆,1,0
桼,1,0
嶶,1,7
檺,1,0
耑,1,0
嵅,1,0
汘,1,0
盪,1,0
崵,1,0
刖,1,2
愀,1,0
甹,1,0
楩,1,0
鋑,1,0
痣,1,1
軹,1,0
美,1,2
淐,1,0
贊,1,0
剷,1,0
舴,1,1
鍼,1,0
戣,1,0
硩,1,0
轟,1,0
阤,1,0
昭,1,1
崠,1,0
椐,1,0
蜆,1,0
蕊,1,0
茢,1,0
屏,1,0
礛,1,0
紿,1,1
剞,1,0
詍,1,0
關,1,1
颭,1,0
璱,1,0
丄,1,0
鰹,1,1
稰,1,0
荇,1,1
吲,1,0
柩,1,0
涷,1,0
窯,1,0
离,1,0
墐,1,2
洚,1,0
捋,1,0
猶,1,0
呴,1,0
颒,1,0
騣,1,0
僔,1,0
鋺,1,0
欑,1,0
期,1,0
蚘,1,0
還,1,0
椩,1,0
觳,1,0
袋,1,0
硃,1,0
綆,1,0
溫,1,1
犒,1,0
爇,1,1
餾,1,0
寢,1,0
菐,1,0
濡,1,0
嵽,1,3
鋾,1,0
攮,1,0
儰,1,0
綿,1,0
鸇,1,0
徥,1,0
鯁,1,1
霩,1,1
怵,1,0
蘄,1,0
敕,1,0
菼,1,0
昇,1,0
棲,1,1
日,1,1
硎,1,0
鉤,1,0
訃,1,0
蒹,1,1
坉,1,0
鑕,1,0
慒,1,0
罪,1,5
觾,1,1
衶,1,0
鄀,1,1
鎦,1,0
締,1,0
墦,1,0
陬,1,2
渵,1,0
徵,1,1
醽,1,0
慎,1,3
鄰,1,1
鯰,1,0
騰,1,1
敕,1,0
鳥,1,0
尷,1,0
斶,1,0
榰,1,0
籦,1,0
憩,1,2
弼,1,0
翱,1,0
牶,1,0
淪,1,0
濴,1,0
諃,1,0
碬,1,1
專,1,0
衼,1,0
紜,1,2
腪,1,0
汸,1,2
鎈,1,0
儱,1,0
騫,1,0
賓,1,0
庶,1,0
萊,1,0
彙,1,0
蹺,1,0
咄,1,1
備,1,0
琌,1,3
挲,1,0
侉,1,0
諼,1,6
嬲,1,4
樵,1,1
熿,1,0
嗑,1,0
鶯,1,0
灒,1,0
皋,1,0
霦,1,1
強,1,0
類,1,1
鍕,1,0
瓥,1,0
薤,1,0
傽,1,0
嶆,1,0
薅,1,1
韙,1,0
蓰,1,0
甙,1,0
刊,1,0
殂,1,1
抣,1,0
京,1,0
漊,1,0
茥,1,0
惲,1,0
研,1,0
閏,1,0
趄,1,0
獄,1,0
悘,1,0
堤,1,0
詈,1,0
鍑,1,0
糝,1,0
歪,1,0
髂,1,0
皤,1,1
裊,1,0
叵,1,0
讌,1,1
設,1,0
麗,1,0
瞵,1,0
飀,1,0
嵧,1,0
綷,1,1
荅,1,0
畽,1,0
徛,1,0
喪,1,0
煙,1,0
褣,1,0
聥,1,0
槔,1,0
鐙,1,0
覈,1,0
坭,1,3
燨,1,1
鋼,1,0
崢,1,2
貅,1,0
哂,1,1
綰,1,2
苂,1,0
踺,1,0
柨,1,0
玅,1,0
砃,1,1
熷,1,0
織,1,0
瞅,1,0
礱,1,0
喑,1,0
諠,1,3
枌,1,0
訄,1,0
茼,1,5
嚴,1,0
熗,1,0
栻,1,2
襛,1,0
磣,1,1
葴,1,0
稑,1,0
駰,1,1
溮,1,2
鯖,1,0
驃,1,0
亳,1,0
柶,1,0
娰,1,0
罵,1,0
笢,1,0
笞,1,0
羱,1,1
橛,1,0
嶗,1,0
眇,1,0
揠,1,0
瓺,1,0
銬,1,0
媓,1,1
囷,1,0
琒,1,0
埻,1,1
昑,1,1
嶈,1,0
頇,1,0
屐,1,0
遽,1,0
晲,1,0
傮,1,0
燉,1,0
華,1,0
鼗,1,1
縠,1,0
菮,1,0
羧,1,0
嚅,1,1
訶,1,0
麎,1,0
併,1,0
胝,1,0
饗,1,0
皴,1,2
址,1,0
錙,1,2
慎,1,0
堩,1,0
涍,1,0
妺,1,7
歟,1,3
渄,1,0
赬,1,0
泃,1,0
俙,1,0
臺,1,0
,1,0
僅,1,1
昢,1,5
熞,1,0
稜,1,1
艓,1,0
鷫,1,1
鴦,1,0
廒,1,0
執,1,0
島,1,0
庈,1,0
弮,1,0
悁,1,0
犴,1,0
晢,1,1
怾,1,0
壘,1,0
喟,1,0
剁,1,1
敫,1,0
蹙,1,2
絃,1,0
琾,1,0
淓,1,0
侯,1,0
協,1,0
道,1,0
堒,1,0
頏,1,0
岸,1,0
嘅,1,1
氣,1,0
昜,1,0
檉,1,0
邠,1,2
讓,1,0
,1,1
簾,1,0
蚄,1,0
踖,1,0
鷖,1,0
霋,1,0
三,1,0
疆,1,0
潛,1,0
偗,1,0
捎,1,2
礄,1,0
妓,1,2
碤,1,0
懊,1,3
泆,1,1
葉,1,1
輗,1,0
騳,1,0
博,1,0
郬,1,0
圊,1,0
鈞,1,0
鈧,1,0
霠,1,0
黖,1,0
閎,1,0
陽,1,0
廕,1,0
愌,1,0
蝌,1,0
磞,1,1
騊,1,1
峟,1,0
鑸,1,0
嚆,1,2
勤,1,0
,1,1
弶,1,2
瑍,1,0
戩,1,0
蒀,1,3
鞶,1,0
胥,1,0
裡,1,0
娗,1,1
祱,1,0
奎,1,0
迂,1,0
襞,1,0
薘,1,0
稂,1,0
嵢,1,0
罱,1,1
捍,1,0
笘,1,0
汌,1,0
諑,1,1
潀,1,1
崩,1,1
砆,1,0
暽,1,0
饔,1,0
笥,1,0
喙,1,0
秉,1,0
婱,1,0
砹,1,0
縑,1,0
櫝,1,0
鮶,1,0
麰,1,0
愨,1,0
潽,1,0
膾,1,0
嫵,1,9
寶,1,1
楪,1,0
蕥,1,0
姺,1,12
岓,1,0
蘼,1,0
齠,1,0
耦,1,2
踳,1,0
窨,1,2
壆,1,0
擊,1,0
渱,1,0
祭,1,5
蛉,1,1
弫,1,0
蠣,1,1
痙,1,2
留,1,1
詨,1,0
荻,1,0
燜,1,0
覿,1,0
鶯,1,0
隍,1,0
瀿,1,0
惋,1,21
烔,1,0
阾,1,1
溳,1,1
蕺,1,0
豳,1,0
愊,1,0
榑,1,1
縟,1,0
瀆,1,1
瑲,1,1
嵹,1,0
靦,1,3
銛,1,0
給,1,0
賝,1,1
朗,1,0
鎙,1,0
炵,1,0
硉,1,0
饃,1,2
園,1,3
摨,1,0
鷧,1,0
羋,1,0
胹,1,0
萋,1,0
嗔,1,1
吔,1,0
埇,1,0
吇,1,2
垸,1,1
玝,1,0
貳,1,0
謎,1,0
涼,1,0
鶉,1,0
鑽,1,0
麑,1,2
姅,1,0
倀,1,0
嘯,1,0
嶴,1,0
馸,1,0
崀,1,0
鑰,1,0
彇,1,0
鉺,1,0
鉖,1,0
