char,male,female
務,921,178
精,918,294
覺,917,258
弛,917,228
淋,914,848
椿,912,189
姍,908,10715
質,903,287
考,902,114
竟,902,342
樑,899,27
桔,892,675
葆,890,349
情,889,1297
滇,889,789
施,887,982
語,887,1679
崎,885,178
助,885,94
姣,882,11549
筠,882,2339
卉,881,6485
早,881,468
渤,878,135
支,876,259
暘,875,353
鏗,872,69
郭,872,284
叔,871,199
淇,868,566
汽,863,39
由,862,209
站,861,90
竣,857,96
篤,853,79
蒼,849,91
蛟,847,123
盤,843,219
汀,842,448
艇,841,60
禕,838,627
朔,837,333
嫻,831,6423
掀,831,230
玎,827,635
願,825,296
醒,824,470
鐳,824,155
廠,823,54
箭,823,113
泊,819,188
燾,818,54
隨,815,210
姚,814,643
鴿,811,2041
表,808,46
期,807,142
渠,806,120
袁,805,486
員,802,286
俐,800,4594
劭,800,176
奧,799,328
皇,796,125
董,795,305
改,794,3982
七,792,373
棣,792,297
勒,790,354
綠,784,1391
府,784,52
霜,782,3282
樞,782,129
曲,781,541
共,780,116
伶,776,3407
尹,775,846
畢,773,242
熾,771,74
藍,770,1287
汪,769,210
赤,767,195
狄,767,173
謹,766,569
綿,766,558
輔,763,87
瀅,763,2559
著,762,124
黔,762,307
洵,761,298
屏,759,1460
曹,757,250
次,756,141
錟,756,242
浚,755,122
灶,754,97
姜,753,564
沂,752,419
岡,751,62
滬,751,231
鋮,750,99
或,749,562
單,746,912
弋,744,327
史,742,167
擎,742,278
爐,741,37
娣,740,15289
帝,739,119
翌,736,459
婭,736,8125
僑,735,320
享,733,164
燃,731,354
苑,727,2162
譯,726,886
贛,725,134
沅,725,316
字,724,254
匡,723,52
潭,722,165
崴,715,227
近,709,257
吟,707,1381
軻,706,101
戎,706,351
納,706,1081
鮮,702,1490
祁,700,201
朕,700,73
部,700,68
琢,697,305
懌,697,246
縣,695,116
略,695,68
滕,693,180
謝,689,341
蔭,688,360
塵,687,230
馮,686,350
賦,685,43
逵,685,33
崧,685,131
仔,684,237
圳,684,67
汐,682,429
敘,681,192
滋,680,285
孜,680,620
頻,678,680
聿,678,203
譜,676,83
舸,674,155
壁,674,319
羊,674,191
參,674,144
伙,672,100
劫,671,315
送,671,147
網,669,226
劼,669,192
遲,667,190
鎧,667,75
墩,666,260
榆,665,344
倍,661,487
